210 2470 24404 65.0 2912 18980 25 25 230V -45.0 18087
202.0 205.0 2040 A 59.0 11858 16000 3.5 320 20V -54.0 37428
163.0 168.0 1660 A 50.0 15380 16050 430 435 a0v £4.0 22337
129.0 131.0 130.0A 420 25962 16100 58.0 59.0 570V -13.0 22841
99.0 100.0 9B0A 300 26286 16180 70 78.0 70V $81.0 12457
71.0 73.0 73.0A 24.0 35346 16200 100.0 102.0 1010V -81.0 12744
51.0 52.0 51.0A 16.0 24952 16250 128.0 131.0 1290V -96.0 4064
340 35.0 334 10.5 23155 16300 160.0 164.0 1620V -103.0 2200
225 230 204 75 17634 16380 197.0 2040 2000V -105.0 825
13.5 14.0 1404 3.0 20479 16400 2400 275.0 2400V -110.0 909
81 8.2 82A 0.2 9033 16450 278.0 4280 2880V -107.0 287
47 50 47V 0.3 8537 16500 326.0 338.0 3380V -107.0 262
20 34 0V 0.5 6036 16850 300.0 390.0 3580V -137.0 19
18 20 18V -0.7 4974 16600 266.0 590.0 4250V -115.0 33
12 14 13V 06 1613 16650 378.0 640.0 5100V -80.0 5
09 13 1.0V 0.5 834 16700 520.0 540.0 5200V -120.0 8
03 0.7 07V 0.5 346 16780 570.0 590.0 73004 400 5
04 o8 [ X 4 -0.2 450 16800 620.0 640.0 7400 0 0
0.2 0.5 03V 03 157 16900 715.0 7400 50V -125.0 1
0.1 04 0.2V -0.2 1670 17000 815.0 840.0 940.0 0 0
